filelink	include	beginn	ende	dauer_norm	dauer_bemerkung	gehalt_norm	gehalt_text	umfang_text	umfang_prozent	umfang_sws	umfang_stunden	jahr	datum	domain	domain_lit	domain_ling	domain_mkw	domain_fdid	domain_spr	domain_other	lang	lang_frz	lang_spa	lang_ita	lang_por	lang_rom	lang_okz	lang_kat	lang_eng	lang_other	lang_diverse	account	redaktion	title	position_lektorat	position_lfba	position_rat	position_projekt	position_wma	position_diss	position_postdoc		stadt	land
stellenanzeigen/249.html	1	2014-08-01	2016-09-30	26		E13	TVL-13	20	50	N/A	N/A	2014	05. Juni 2014	Fachdidaktik	0	0	0	1	0	0	Spanisch	0	1	0	0	0	0	0	0	0	0	3942-Cordula_Neis	13-Christof_SchOech	Wiss. Mitarbeiter/in Fachdidaktik Spanisch (50%)	0	0	0	0	1	0	0		Potsdam	DE
stellenanzeigen/1889.html	0	2016-08-03	2016-08-24	1			N/A	20	N/A	N/A	N/A	2016	05. August 2016	N/A	0	0	0	0	0	0	Portugiesisch	0	0	0	1	0	0	0	0	0	0	3773-Sonja_Humbel_Pain	4-Lars_Schneider	Lecturer ohne Doktorat	0	0	0	0	0	0	0		Graz	AT
stellenanzeigen/181.html	0	2014-08-01	2016-01-31	18			1308 Euro brutto (14 mal)	20	N/A	N/A	N/A	2014	13. Mai 2014	Literaturwissenschaft	1	0	0	0	0	0	Französisch	1	0	0	0	0	0	0	0	0	0	2330-Birgit_Mertz_Baumgartner	13-Christof_SchOech	Ersatzkraft Französischsprachige Literaturen	0	0	0	0	0	0	0		Innsbruck, Österreich	AT
stellenanzeigen/53.html	0	2014-08-01	2018-07-31	48			N/A	20	N/A	N/A	N/A	2014	20. März 2014	Literaturwissenschaft	1	0	0	0	0	0	Spanisch, Deutsch	0	1	0	0	0	0	0	0	0	0	3786-Harm_den_Boer	13-Christof_SchOech	Assistenz in Iberoromanischer Literaturwissenschaft 50%	0	0	0	0	0	0	0		Basel, Schweiz	CH
stellenanzeigen/1246.html	0	2015-09-23	2015-10-25	2			circa 39000 chf annui (stima al netto delle tasse, con oscillazioni legate alla classe stipendiale di inserimento)	21	N/A	N/A	N/A	2015	25. September 2015	Sprachwissenschaft	0	1	0	0	0	0	Italienisch	0	0	1	0	0	0	0	0	0	0	4627-Renata_Bernasconi	13-Christof_SchOech	Bando di concorso per un posto di assistente in Linguistica romanza – Linguistica storica italiana (Prof. Dr. M. Loporcaro)	0	0	0	0	0	0	0		Zürich, Schweiz	CH
stellenanzeigen/1487.html	1	2016-04-01	2016-09-30	6	Vertretung	E13	13 TV-L (65%)	26	65	N/A	N/A	2016	15. Januar 2016	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Spanisch	1	1	0	0	0	0	0	0	0	0	2-JOerg_DUenne	13-Christof_SchOech	Stellenvertretung: Wiss. Mitarbeiter/in, romanistische Sprachwissenschaft (65%)	0	0	0	0	1	0	0		Erfurt	DE
stellenanzeigen/1052.html	1	2015-10-01	2016-03-31	6	Vertretung	E13	13 TV-L (65%)	26	65	N/A	N/A	2015	18. Juni 2015	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Spanisch	1	1	0	0	0	0	0	0	0	0	2-JOerg_DUenne	4235-Stefanie_Popp	Stellenvertretung an der Universität Erfurt: Wissenschaftliche Mitarbeiterin / Wissenschaftlicher Mitarbeiter im Bereich der romanistischen Sprachwissenschaft, Entgeltgruppe 13 TV-L (65%)	0	0	0	0	1	0	0		Erfurt	DE
stellenanzeigen/1665.html	0	2016-04-13	2016-05-04	2			Gehaltsschema des Universitäten-KV: B1	30	N/A	N/A	N/A	2016	13. April 2016	Sprachpraxis	0	0	0	0	1	0	Italienisch	0	0	1	0	0	0	0	0	0	0	3773-Sonja_Humbel_Pain	13-Christof_SchOech	Lecturer, Italienisch	0	0	0	0	0	0	0		Graz	AT
stellenanzeigen/47.html	0	2014-05-01	2018-04-30	48			Einstufung gemäß Kollektivvertrag: §48 VwGr. B1 Grundstufe (praedoc)	30	N/A	N/A	N/A	2014	20. März 2014	Romanistik Sprach- und Literaturwissenschaft	1	0	0	0	0	0	Französisch, Spanisch, Deutsch	1	1	0	0	0	0	0	0	0	0	3782-Ingrid_Mechtler	13-Christof_SchOech	Universitätsassistent/in (&quot;prae doc&quot;) am Institut für Romanistik  Wien	0	0	0	0	0	0	0		Wien	AT
stellenanzeigen/1938.html	0	2016-10-17	2020-10-16	49			§48 VwGr. B1 Grundstufe	30	N/A	N/A	N/A	2016	31. August 2016	Literaturwissenschaft, Medien-/Kulturwissenschaft	1	0	1	0	0	0	Portugiesisch, Spanisch	0	1	0	1	0	0	0	0	0	0	4-Lars_Schneider	4-Lars_Schneider	Universitätsassistent/in (&quot;prae doc&quot;) bis 16.10.2020 zu besetzen	0	0	0	0	0	0	0		Wien	AT
stellenanzeigen/121.html	0	2014-04-22	2014-05-31	2			CHF 94&#39;496 / CHF 47&#39;040	35	N/A	N/A	N/A	2014	24. April 2014	Medien-/Kulturwissenschaft	0	0	1	0	0	0	Portugiesisch, Spanisch	0	1	0	1	0	0	0	0	0	0	3846-Jens_Andermann	13-Christof_SchOech	2 Projektstellen / 2 puestos de investigación, Universität Zürich	0	0	0	1	0	0	0		Zürich	CH
stellenanzeigen/1492.html	1	2016-04-01	2018-12-31	33		E13	13 TV-L	39	100	N/A	N/A	2016	20. Januar 2016	Weitere Teilbereiche	0	0	0	0	0	1	Sprachübergreifend	0	0	0	0	0	0	0	0	0	1	418-Christoph_Gabriel	13-Christof_SchOech	Wiss. Mitarbeiter/in BMBF-Projekt Datenmanagement &quot;Mehrsprachigkeitsentwicklung im Zeitverlauf&quot; (MEZ)	0	0	0	1	1	0	0		Hamburg	DE
stellenanzeigen/1883.html	1	2016-10-01	2019-09-30	36		E13	TVL-13	39	100	N/A	N/A	2016	05. August 2016	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Spanisch	1	1	0	0	0	0	0	0	0	0	418-Christoph_Gabriel	4-Lars_Schneider	Wiss. Mitarbeiter/in 100% Romanische Sprachwissenschaft (Französisch, Spanisch)	0	0	0	0	1	0	0		Mainz	DE
